"Date/Time","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"01/22/2016 12:00","         13.93","          2.09","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      86626305","      12972894","         9756.288","         1461.072","      7399119","      4458994","         8212.119","         4948.939",
"01/22/2016 12:15","         10.94","          2.19","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      68016167","      13610286","         7694.329","         1539.664","      5412282","      3656219","         5980.422","         4040.021",
"01/22/2016 12:30","         26.61","          1.94","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     165510300","      12056953","        18392.332","         1339.829","      8516780","      3936607","         9580.180","         4428.129",
"01/22/2016 12:45","         15.90","          1.98","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      98900352","      12305487","        11151.015","         1387.444","      6701519","      4430730","         7429.622","         4912.118",
"01/22/2016 13:00","         11.30","          1.87","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      70293228","      11614108","         8004.641","         1322.557","      6278598","      3754592","         6891.985","         4121.396",
"01/22/2016 13:15","         76.59","          2.06","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     476401245","      12832596","        53178.290","         1432.439","     17277704","      5519552","        19347.932","         6180.909",
"01/22/2016 13:30","         55.21","          2.35","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     343416840","      14609786","        42283.201","         1798.830","     17419534","      8242323","        17684.807","         8367.841",
"01/22/2016 13:45","         40.91","          1.91","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     254473297","      11849877","        28501.008","         1327.186","     12113687","      6192994","        13519.740","         6911.824",
"01/22/2016 14:00","         11.95","          2.13","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      74327980","      13277460","         8454.808","         1510.311","      6811865","      4019793","         7485.566","         4417.355",
"01/22/2016 14:15","         19.93","          2.38","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     123970680","      14827331","        13822.731","         1653.247","      9962674","      5495991","        11168.917","         6161.425",
"01/22/2016 14:30","         24.94","          2.27","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     155107239","      14104271","        17468.953","         1588.493","     12662425","      6845762","        14053.746","         7597.960",
"01/22/2016 14:45","         29.49","          1.82","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     183406174","      11335440","        20518.566","         1268.152","      9757860","      4441645","        10902.637","         4962.732",
"01/22/2016 15:00","         10.75","          1.83","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      66882133","      11376228","         7515.880","         1278.404","      6216662","      3538620","         6915.085","         3936.174",
"01/22/2016 15:15","         10.95","          1.75","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      68100388","      10865878","         7771.957","         1240.068","      5598133","      3166622","         6131.581","         3468.370",
"01/22/2016 15:30","         10.36","          1.71","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      64410881","      10644837","         7189.864","         1188.230","      5585565","      3117929","         6254.832","         3491.522",
"01/22/2016 15:45","         25.40","          1.96","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     157976212","      12166849","        17614.348","         1356.604","      9833637","      5799494","        11024.257","         6501.675",
"01/22/2016 16:00","         14.34","          1.79","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      89220360","      11146109","        10159.968","         1269.263","      8026693","      4401976","         8810.859","         4832.026",
"01/22/2016 16:15","         17.97","          1.92","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     111798073","      11960130","        12591.259","         1347.010","      8838357","      4762902","         9809.497","         5286.240",
"01/22/2016 16:30","         29.30","          1.92","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     182246353","      11918489","        20411.593","         1334.871","     11119449","      5266031","        12410.100","         5877.267",
"01/22/2016 16:45","         26.74","          1.92","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     166313660","      11956475","        18772.654","         1349.587","     10292321","      5163520","        11397.919","         5718.184",
"01/22/2016 17:00","         22.90","          2.10","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     142455475","      13069383","        16061.856","         1473.573","     11604401","      6240100","        12865.189","         6918.071",
"01/22/2016 17:15","         80.51","          2.62","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     500780518","      16276678","        56463.004","         1835.196","     20322580","      9823955","        22530.576","        10891.303",
"01/22/2016 17:30","         47.84","          2.35","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     297549713","      14613611","        30089.716","         1477.801","     13944521","      6407362","        17236.738","         7920.102",
"01/22/2016 17:45","         18.66","          1.86","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     116039001","      11573944","        12981.862","         1294.835","      8094586","      4296205","         9044.230","         4800.229",
"01/22/2016 18:00","         16.46","          2.00","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     102353477","      12422683","        11591.530","         1406.869","      8912022","      4848489","         9836.669","         5351.533",
"01/22/2016 18:15","         14.75","          1.80","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      91738075","      11224297","        11214.980","         1372.170","      7582304","      4072506","         7752.867","         4164.117",
"01/22/2016 18:30","         16.76","          1.82","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     104257851","      11299873","        11846.299","         1283.948","      5936897","      3459059","         6531.240","         3805.345",
"01/22/2016 18:45","         24.48","          1.78","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     152242035","      11101767","        17070.137","         1244.786","      7833326","      3795343","         8732.805","         4231.152",
"01/22/2016 19:00","         10.65","          1.94","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      66272324","      12052676","         7463.921","         1357.433","      5937393","      3423318","         6589.781","         3799.465",
"01/22/2016 19:15","         34.24","          2.07","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     212976120","      12881597","        23853.326","         1442.739","      8874907","      5658180","         9905.030","         6314.933",
"01/22/2016 19:30","         48.80","          1.91","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     303533386","      11867216","        31112.172","         1216.390","     11934768","      4765293","        14554.595","         5811.333",
"01/22/2016 19:45","         39.54","          1.89","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     245908401","      11727204","        27480.265","         1310.515","     10363940","      4696719","        11592.774","         5253.601",
"01/22/2016 20:00","          9.62","          1.84","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      59825382","      11458598","         6692.964","         1281.931","      5562524","      3941301","         6215.111","         4403.688",
"01/22/2016 20:15","         15.33","          1.93","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      95378731","      11991473","        10837.409","         1362.531","      6540868","      4414586","         7195.674","         4856.530",
"01/22/2016 20:30","         17.11","          2.00","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     106437920","      12431925","        11881.133","         1387.714","      7189468","      4804747","         8050.916","         5380.456",
"01/22/2016 20:45","         18.54","          1.71","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     115339020","      10663741","        12946.806","         1197.005","      5114724","      3313521","         5695.684","         3689.890",
"01/22/2016 21:00","          1.47","          1.59","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       9154267","       9908425","         1032.144","         1117.175","      1523914","      1932262","         1689.483","         2142.197",
"01/22/2016 21:15","          7.53","          1.84","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      46857765","      11471684","         5177.783","         1267.621","      3082030","      2646831","         3486.459","         2994.153",
"01/22/2016 21:30","          8.97","          1.95","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      55778152","      12145431","         7014.103","         1527.288","      5552289","      5020855","         5519.174","         4990.910",
"01/22/2016 21:45","         21.55","          2.17","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     134037109","      13481779","        13772.314","         1385.253","      7128131","      4836468","         8671.692","         5883.781",
"01/22/2016 22:00","         16.02","          2.00","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      99632957","      12435567","        11171.345","         1394.338","      8440467","      5431731","         9409.662","         6055.441",
"01/22/2016 22:15","         23.89","          2.19","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     148570297","      13621310","        16639.873","         1525.587","     11360375","      6737316","        12678.990","         7519.326",
"01/22/2016 22:30","         24.39","          2.32","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     151725616","      14406170","        18605.355","         1766.557","     11358973","      7030292","        11578.974","         7166.455",
"01/22/2016 22:45","         21.58","          2.02","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     134201355","      12593712","        15198.303","         1426.238","      8706256","      5837762","         9609.554","         6443.446",
"01/22/2016 23:00","          5.82","          1.84","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      36180477","      11416049","         4088.394","         1290.014","      3659226","      3128400","         4047.816","         3460.619",
"01/22/2016 23:15","         47.31","          2.15","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     294267853","      13383165","        32847.649","         1493.896","     10463998","      5735920","        11717.803","         6423.203",
"01/22/2016 23:30","         53.24","          2.18","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     331163361","      13547430","        36800.528","         1505.458","     12476993","      6120334","        14034.862","         6884.515",
"01/22/2016 23:45","         34.04","          2.50","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     211755814","      15532900","        24034.284","         1762.984","     16279812","      8834975","        17929.309","         9730.148",
"01/23/2016 00:00","         32.60","          2.59","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     202799942","      16102385","        22941.743","         1821.582","     16800336","      9374517","        18563.908","        10358.582",
"01/23/2016 00:15","         49.64","          3.53","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     308791779","      21940006","        34468.880","         2449.053","     22674780","     12769098","        25391.691","        14299.102",
"01/23/2016 00:30","         63.99","          2.97","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     398008057","      18474939","        45223.666","         2099.215","     25206012","     13337861","        27729.387","        14673.114",
"01/23/2016 00:45","         59.70","          2.84","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     371352386","      17635532","        41777.144","         1983.997","     24391020","     13265170","        27101.135","        14739.078",
"01/23/2016 01:00","         37.94","          3.54","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     235991898","      22012445","        26401.593","         2462.642","     18955920","     11138136","        21179.797","        12444.845",
"01/23/2016 01:15","         71.96","          3.18","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     447581573","      19805653","        50520.773","         2235.563","     24391236","     13464150","        27011.336","        14910.465",
"01/23/2016 01:30","         76.30","          3.45","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     474608734","      21453758","        52978.201","         2394.776","     31833696","     15623119","        35648.035","        17495.094",
"01/23/2016 01:45","         62.71","          3.00","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     390072693","      18649542","        43980.694","         2102.736","     21905946","     12546062","        24285.971","        13909.159",
"01/23/2016 02:00","         45.04","          3.27","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     280141907","      20349920","        31515.965","         2289.366","     22916952","     12456240","        25463.279","        13840.267",
"01/23/2016 02:15","         58.08","          3.12","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     361245209","      19402086","        40820.707","         2192.436","     26902532","     14112739","        29759.439","        15611.437",
"01/23/2016 02:30","         76.97","          4.25","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     478743652","      26422247","        48712.167","         2688.464","     33004534","     17474780","        40546.109","        21467.787",
"01/23/2016 02:45","         45.92","          3.03","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     285633484","      18842363","        31919.540","         2105.634","     20255884","     10857282","        22657.588","        12144.610",
"01/23/2016 03:00","         39.11","          2.93","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     243272217","      18234617","        27246.488","         2042.277","     19800456","     11065248","        22098.725","        12349.607",
"01/23/2016 03:15","         57.05","          3.04","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     354880463","      18889936","        40057.131","         2132.202","     24717832","     12867214","        27373.016","        14249.406",
"01/23/2016 03:30","         58.82","          3.42","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     365836121","      21279701","        41065.103","         2388.647","     28544120","     15223909","        31786.324","        16953.129",
"01/23/2016 03:45","         50.06","          3.20","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     311379211","      19887329","        35224.773","         2249.754","     21299972","     12226642","        23535.879","        13510.102",
"01/23/2016 04:00","         36.90","          5.14","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     229520187","      31997967","        25734.951","         3587.772","     19025220","     11174128","        21209.832","        12457.222",
"01/23/2016 04:15","         40.94","          2.82","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     254654114","      17531870","        28584.923","         1967.952","     20275488","     11248127","        22578.494","        12525.754",
"01/23/2016 04:30","         51.69","          2.96","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     321532166","      18414167","        36373.324","         2083.103","     24967780","     13317044","        27588.709","        14714.966",
"01/23/2016 04:45","         25.46","          2.15","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     158385300","      13372335","        17937.136","         1514.417","     10624485","      6077908","        11726.805","         6708.508",
"01/23/2016 05:00","         23.29","          2.23","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     144889877","      13889963","        16408.779","         1573.038","     12173284","      7194022","        13436.296","         7940.422",
"01/23/2016 05:15","         70.13","          2.68","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     436211761","      16645348","        48692.138","         1858.037","     16988900","      8793738","        19024.523","         9847.411",
"01/23/2016 05:30","         75.86","          2.45","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     471866577","      15248679","        58216.538","         1881.306","     21716964","     10390714","        22003.002","        10527.572",
"01/23/2016 05:45","         55.10","          3.11","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     342723297","      19357903","        38385.009","         2168.085","     25264996","     13774755","        28197.539","        15373.610",
"01/23/2016 06:00","         41.66","          2.76","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     259125366","      17151525","        29183.996","         1931.691","     21406804","     12058919","        23758.938","        13383.928",
"01/23/2016 06:15","         45.01","          2.59","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     279932770","      16129442","        31807.363","         1832.708","     19153594","     10659155","        21071.061","        11726.243",
"01/23/2016 06:30","         29.69","          2.25","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     184672363","      14018228","        19113.591","         1450.887","     12092048","      7163857","        14603.923","         8652.001",
"01/23/2016 06:45","         32.77","          2.08","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     203833527","      12907705","        22472.647","         1423.074","     12332691","      7796752","        13982.643","         8839.854",
"01/23/2016 07:00","         25.28","          2.30","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     157251282","      14331091","        17474.548","         1592.542","     13174651","      7801890","        14819.630","         8776.029",
"01/23/2016 07:15","         41.73","          2.37","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     259591522","      14714878","        29301.393","         1660.942","     14288972","      8345965","        15823.890","         9242.486",
"01/23/2016 07:30","         28.92","          2.28","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     179899490","      14203692","        20418.593","         1612.119","     14514807","      8555757","        15985.471","         9422.640",
"01/23/2016 07:45","         70.67","          2.31","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     439588165","      14393354","        49014.079","         1604.859","     16378891","      8712644","        18361.986","         9767.538",
