"Date/Time","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"01/15/2016 12:00","          0.58","          0.40","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3579642","       2499316","          362.886","          253.368","       729849","       611375","          899.937","          753.853",
"01/15/2016 12:15","          5.22","          0.43","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      32488499","       2705103","         3618.407","          301.281","      1657835","       946750","         1860.645","         1062.570",
"01/15/2016 12:30","         14.32","          0.60","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      89066170","       3701420","         9986.545","          415.022","      3243722","      2069720","         3616.189","         2307.380",
"01/15/2016 12:45","         18.65","          0.47","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     115990288","       2908962","        13150.398","          329.804","      3992677","      1087917","         4402.069","         1199.468",
"01/15/2016 13:00","          0.54","          0.46","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3388472","       2835264","          379.932","          317.904","       784609","       742479","          874.703","          827.736",
"01/15/2016 13:15","         20.56","          1.00","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     127879997","       6239987","        14482.410","          706.679","      4360121","      2718275","         4812.496","         3000.303",
"01/15/2016 13:30","         16.04","          0.61","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      99742714","       3765714","        11158.716","          421.289","      3492517","      1531468","         3902.254","         1711.137",
"01/15/2016 13:45","         30.11","          0.69","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     187262009","       4273764","        21113.793","          481.867","      5906124","      3244053","         6547.809","         3596.511",
"01/15/2016 14:00","          0.49","          0.37","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3051342","       2282890","          376.459","          281.652","       852013","       697256","          863.235","          706.440",
"01/15/2016 14:15","          5.09","          0.39","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      31653700","       2427644","         3564.998","          273.413","      1722027","       938911","         1911.240","         1042.077",
"01/15/2016 14:30","         10.27","          0.40","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      63905334","       2509736","         7221.303","          283.600","      2613744","       978301","         2891.310","         1082.191",
"01/15/2016 14:45","         12.18","          0.51","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      75758453","       3154082","         8513.356","          354.440","      3077653","      1309263","         3423.418","         1456.355",
"01/15/2016 15:00","          0.79","          0.41","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       4919581","       2554423","          501.182","          260.232","      1017497","       675695","         1248.463","          829.074",
"01/15/2016 15:15","          4.68","          0.46","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      29111378","       2843675","         3275.030","          319.913","      1633483","      1134466","         1814.981","         1260.518",
"01/15/2016 15:30","          3.20","          0.54","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      19899002","       3371162","         2223.714","          376.727","      1338261","      2006111","         1496.936","         2243.972",
"01/15/2016 15:45","         14.71","          0.50","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      91469009","       3124856","        10301.697","          351.937","      3401369","      1639382","         3775.104","         1819.514",
"01/15/2016 16:00","          0.57","          0.41","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3574291","       2547519","          403.895","          287.870","       972709","       780098","         1076.005","          862.940",
"01/15/2016 16:15","          3.21","          0.59","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      19989613","       3639244","         2236.338","          407.140","      1480120","       983741","         1653.765","         1099.152",
"01/15/2016 16:30","         14.86","          0.62","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      92430595","       3846659","        10456.211","          435.153","      3458666","      1461114","         3821.730","         1614.491",
"01/15/2016 16:45","          9.60","          0.48","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      59725651","       3008302","         6711.670","          338.058","      2548007","      1423851","         2834.268","         1583.816",
"01/15/2016 17:00","          0.62","          0.38","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3850337","       2376750","          444.714","          274.515","      1000682","       736435","         1082.989","          797.008",
"01/15/2016 17:15","         41.34","          0.69","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     257134552","       4278817","        28091.951","          467.461","      7669023","      3024805","         8774.626","         3460.875",
"01/15/2016 17:30","         50.89","          0.89","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     316531586","       5510105","        35451.535","          617.132","      9519481","      3627782","        10624.421","         4048.864",
"01/15/2016 17:45","          7.38","          0.58","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      45931499","       3618514","         5207.484","          410.249","      2211521","      1139670","         2438.281","         1256.527",
"01/15/2016 18:00","          0.53","          0.50","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3312198","       3104340","          409.884","          384.162","      1030253","       775087","         1040.660","          782.916",
"01/15/2016 18:15","          4.28","          0.57","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      26600044","       3525952","         2969.230","          393.584","      1594774","      1006669","         1785.861","         1127.289",
"01/15/2016 18:30","         18.29","          0.64","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     113783318","       3961924","        12729.508","          443.240","      3965716","      1679726","         4430.968","         1876.789",
"01/15/2016 18:45","         14.81","          0.68","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      92114960","       4254034","        10478.077","          483.896","      3442553","      2038729","         3783.025","         2240.362",
"01/15/2016 19:00","          0.66","          0.55","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       4090344","       3410592","          460.164","          383.692","      1026467","       777883","         1140.519","          864.314",
"01/15/2016 19:15","         45.89","          0.78","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     285410370","       4842818","        32251.372","          547.238","      8698563","      2101880","         9622.305","         2325.088",
"01/15/2016 19:30","         14.25","          0.61","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      88631325","       3790029","         9804.841","          419.272","      3309890","      1541213","         3739.989","         1741.484",
"01/15/2016 19:45","         37.28","          0.63","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     231862961","       3910559","        26316.446","          443.848","      7182138","      1990803","         7909.844","         2192.514",
"01/15/2016 20:00","          0.53","          0.46","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3298593","       2889713","          338.930","          296.918","       871362","       627308","         1060.051","          763.148",
"01/15/2016 20:15","          5.99","          0.52","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      37287933","       3212392","         4180.910","          360.189","      1804646","       963665","         2011.868","         1074.320",
"01/15/2016 20:30","          6.67","          0.44","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      41479626","       2747296","         4624.978","          306.323","      1859935","      1183690","         2085.129","         1327.007",
"01/15/2016 20:45","         10.73","          0.48","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      66752663","       2959890","         7467.954","          331.138","      2638896","      1275265","         2948.487","         1424.877",
"01/15/2016 21:00","          0.46","          0.37","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       2833863","       2301391","          319.518","          259.482","       931833","       627072","         1033.074","          695.202",
"01/15/2016 21:15","          4.08","          0.58","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      25399714","       3597516","         2851.118","          403.821","      1632145","       905299","         1817.533","         1008.128",
"01/15/2016 21:30","         36.16","          0.42","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     224894287","       2592075","        25384.944","          292.580","      7097191","       814624","         7859.569","          902.131",
"01/15/2016 21:45","         10.48","          0.61","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      65207558","       3774575","         7401.058","          428.414","      2763077","      1794914","         3043.036","         1976.778",
"01/15/2016 22:00","          0.56","          0.40","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3500063","       2518978","          393.757","          283.385","       893884","       624387","          993.204","          693.763",
"01/15/2016 22:15","          2.15","          0.47","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      13392816","       2951815","         1498.321","          330.234","      1195540","       728145","         1335.799","          813.570",
"01/15/2016 22:30","         10.85","          0.44","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      67491783","       2724543","         7660.317","          309.236","      2639600","       668254","         2907.048","          735.963",
"01/15/2016 22:45","         11.13","          0.43","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      69228828","       2687946","         7762.282","          301.386","      2787899","      1088442","         3108.026","         1213.425",
"01/15/2016 23:00","          0.70","          0.35","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       4349505","       2175370","          487.145","          243.641","       897912","       574696","         1002.134","          641.402",
"01/15/2016 23:15","         48.09","          0.75","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     299139343","       4670912","        33391.430","          521.390","      8841637","      4337484","         9901.049","         4857.205",
"01/15/2016 23:30","         49.41","          0.82","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     307335114","       5080913","        34728.870","          574.143","      9076117","      5237862","        10039.952","         5794.095",
