"Date/Time","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"01/08/2016 12:00","          0.57","          0.77","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3520887","       4800232","          400.501","          546.026","       623810","      1075939","          685.505","         1182.351",
"01/08/2016 12:15","          5.62","          0.78","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      34949997","       4869448","         3918.768","          545.987","      1462875","      1272766","         1630.853","         1418.914",
"01/08/2016 12:30","          8.64","          0.69","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      53751495","       4316089","         6053.762","          486.099","      2021138","      1065739","         2243.216","         1182.840",
"01/08/2016 12:45","          6.22","          0.68","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      38660259","       4234615","         4339.614","          475.336","      1539657","      1493041","         1714.540","         1662.629",
"01/08/2016 13:00","          0.45","          0.67","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       2771402","       4186762","          311.090","          469.964","       551309","       935709","          613.930","         1041.992",
"01/08/2016 13:15","          3.57","          0.94","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      22201044","       5855886","         2489.292","          656.591","      1090169","      2311928","         1215.350","         2577.400",
"01/08/2016 13:30","         20.81","          0.72","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     129407745","       4466976","        16030.384","          553.347","      4447571","      1816156","         4487.963","         1832.650",
"01/08/2016 13:45","         16.10","          0.93","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     100160294","       5762689","        11205.433","          644.701","      3182152","      3543633","         3555.477","         3959.366",
"01/08/2016 14:00","          0.32","          0.66","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       1997199","       4101625","          225.933","          463.996","       504321","       906903","          557.261","         1002.103",
"01/08/2016 14:15","          5.23","          1.82","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      32509171","      11312999","         3649.154","         1269.884","      1323947","      1838487","         1474.328","         2047.313",
"01/08/2016 14:30","         16.13","          1.12","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     100353546","       6979525","        11139.244","          774.727","      3227925","      1622794","         3635.051","         1827.471",
"01/08/2016 14:45","         19.01","          1.23","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     118213188","       7673946","        13491.080","          875.789","      3756921","      2175166","         4114.919","         2382.438",
"01/08/2016 15:00","          0.41","          0.91","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       2528416","       5687610","          284.447","          639.856","       513371","      1052245","          570.412","         1169.161",
"01/08/2016 15:15","          3.38","          0.86","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      21002056","       5367068","         2373.232","          606.479","      1072381","      1279909","         1186.262","         1415.828",
"01/08/2016 15:30","          9.44","          0.69","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      58731449","       4315035","         6585.264","          483.823","      2074155","      1485040","         2312.324","         1655.563",
"01/08/2016 15:45","         13.06","          0.68","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      81206108","       4217130","         9145.839","          474.954","      2710790","      1208830","         3008.646","         1341.654",
"01/08/2016 16:00","          0.36","          0.69","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       2231670","       4292973","          250.784","          482.423","       513632","       969941","          571.337","         1078.911",
