"Date/Time","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"01/15/2016 12:00","          1.66","         19.89","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      10336139","     123738213","         1047.826","        12543.961","      5059266","      9477435","         6238.306","        11686.109",
"01/15/2016 12:15","          1.84","         24.07","         0.00","         0.00","            0","          398","         0.00","         0.00","            0","            0","      11461109","     149718811","         1276.481","        16674.933","      6335319","     11921604","         7110.347","        13380.027",
"01/15/2016 12:30","          1.76","         29.55","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      10956879","     183828232","         1231.279","        20657.697","      5939344","     11655155","         6606.612","        12964.577",
"01/15/2016 12:45","          1.89","         19.04","         0.00","         0.02","            0","         1589","         0.00","         0.00","            0","            0","      11757402","     118428223","         1331.526","        13411.996","      5499775","      8030107","         6070.392","         8863.253",
"01/15/2016 13:00","          4.59","         10.93","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      28532644","      67976006","         3195.656","         7613.313","      5493970","      7026054","         6131.663","         7841.578",
"01/15/2016 13:15","          4.95","         49.89","         0.00","         0.00","            0","          656","         0.00","         0.00","            0","            0","      30782492","     310325897","         3486.117","        35144.409","      8256711","     15634495","         9113.367","        17256.617",
"01/15/2016 13:30","          5.18","         42.19","         0.00","         0.01","            0","         1153","         0.00","         0.00","            0","            0","      32191261","     262423889","         3601.397","        29358.672","      9632871","     15829291","        10762.984","        17686.359",
"01/15/2016 13:45","          4.58","         44.67","         0.00","         0.09","            0","        10676","         0.00","         0.00","            0","            0","      28467569","     277840149","         3206.160","        31291.748","      6716820","     12313924","         7454.850","        13666.952",
"01/15/2016 14:00","          4.90","         13.03","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      30490744","      81063858","         3765.607","        10011.387","      6940732","      9092243","         7025.032","         9202.675",
"01/15/2016 14:15","          5.19","         18.82","         0.00","         0.00","            0","          124","         0.00","         0.00","            0","            0","      32281178","     117074242","         3639.703","        13200.120","      7194186","      9935042","         7975.816","        11014.459",
"01/15/2016 14:30","          5.16","         17.34","         0.00","         0.00","            0","          464","         0.00","         0.00","            0","            0","      32114300","     107876732","         3628.916","        12190.071","      7452755","      9895182","         8244.198","        10945.998",
"01/15/2016 14:45","          5.32","         32.03","         0.00","         0.05","            0","         7130","         0.00","         0.00","            0","            0","      33118546","     199195953","         3717.557","        22359.745","      8836796","     13128075","         9840.530","        14619.237",
"01/15/2016 15:00","          5.51","         16.44","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      34294460","     102255577","         3493.748","        10417.287","      6771030","      8929060","         8308.013","        10955.901",
"01/15/2016 15:15","          4.74","         15.30","         0.00","         0.01","            0","          723","         0.00","         0.00","            0","            0","      29494469","      95153259","         3318.128","        10704.741","      5974671","      8351531","         6638.523","         9279.479",
"01/15/2016 15:30","          4.28","         31.90","         0.00","         0.01","            0","          782","         0.00","         0.00","            0","            0","      26591873","     198418472","         2971.642","        22173.264","      5096994","     10064457","         5701.335","        11257.782",
"01/15/2016 15:45","          4.72","         20.19","         0.00","         0.00","            0","           76","         0.00","         0.00","            0","            0","      29381968","     125569679","         3309.144","        14142.286","      6145071","      8420405","         6820.279","         9345.621",
"01/15/2016 16:00","          5.18","         12.97","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      32223461","      80653259","         3641.251","         9113.818","      6398944","      8172365","         7078.478","         9040.227",
"01/15/2016 16:15","          5.26","         15.52","         0.00","         0.00","            0","            6","         0.00","         0.00","            0","            0","      32728130","      96560974","         3661.459","        10802.760","      6718789","      8842081","         7507.027","         9879.420",
"01/15/2016 16:30","          5.13","         13.48","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      31881243","      83824684","         3606.565","         9482.667","      6577193","      7933965","         7267.617","         8766.813",
