"Date/Time","Interface - In Utilization (%)","Interface - Out Utilization (%)","Interface Discards - In (%)","Interface Discards - Out (%)","Interface Discards - In (pkt)","Interface Discards - Out (pkt)","Interface Errors - In (%)","Interface Errors - Out (%)","Interface Errors - In (pkt)","Interface Errors - Out (pkt)","Interface - In (bps)","Interface - Out (bps)","Interface - In (MB)","Interface - Out (MB)","Interface - In (pkt)","Interface - Out (pkt)","Interface - In (pkt/sec)","Interface - Out (pkt/sec)",
"01/22/2016 12:00","          0.65","          0.37","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       4020120","       2273134","          452.766","          256.012","      1035915","       677053","         1149.739","          751.446",
"01/22/2016 12:15","          3.79","          0.56","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      23543476","       3504741","         2660.413","          396.036","      1544532","       972224","         1708.553","         1075.469",
"01/22/2016 12:30","          5.14","          0.54","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      31998142","       3353840","         3555.794","          372.695","      1687120","      1678937","         1897.773","         1888.568",
"01/22/2016 12:45","         19.01","          0.43","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     118272453","       2658610","        13335.219","          299.758","      4035174","      1376406","         4473.585","         1525.949",
"01/22/2016 13:00","          0.48","          0.37","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       2997926","       2313199","          338.016","          260.813","       853770","       716066","          946.530","          793.865",
"01/22/2016 13:15","         71.99","          1.14","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     447768158","       7104050","        50541.830","          801.870","     13017015","      6951213","        14415.299","         7697.910",
"01/22/2016 13:30","         43.31","          0.62","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     269372833","       3837414","        33166.533","          472.482","      8867838","      3791227","         9002.881","         3848.961",
"01/22/2016 13:45","         45.25","          0.58","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","     281447571","       3604419","        31522.130","          403.695","      8273415","      3045096","         9233.722","         3398.545",
"01/22/2016 14:00","          0.51","          0.48","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","       3171872","       2976546","          358.025","          335.978","       932276","       803995","         1032.421","          890.360",
"01/22/2016 14:15","          4.26","          0.44","         0.00","         0.00","            0","            0","         0.00","         0.00","            0","            0","      26492807","       2750216","         2977.129","          309.056","      1641738","       980209","         1826.182","         1090.333",
