Date/Time,Interface - In Utilization (%),Interface - Out Utilization (%),Interface Discards - In (%),Interface Discards - Out (%),Interface Discards - In (pkt),Interface Discards - Out (pkt),Interface Errors - In (%),Interface Errors - Out (%),Interface Errors - In (pkt),Interface Errors - Out (pkt),Interface - In (bps),Interface - Out (bps),Interface - In (MB),Interface - Out (MB),Interface - In (pkt),Interface - Out (pkt),Interface - In (pkt/sec),Interface - Out (pkt/sec)
1/1/2016 0:00,1.09,15.08,0,0,0,0,0,0,0,0,6778064,93811806,759.143,10506.922,4466064,8091487,4984.446,9030.678
1/1/2016 0:15,0.95,13.95,0,0.02,0,1067,0,0,0,0,5887928,86768387,666.808,9826.52,3219186,5698004,3553.186,6289.188
1/1/2016 0:30,1.29,58.47,0,0.44,0,60017,0,0,0,0,8000948,363682526,900.107,40914.285,6051625,13535844,6724.028,15039.827
1/1/2016 0:45,0.95,27,0,0.17,0,13548,0,0,0,0,5880863,167969376,663.067,18938.548,3588662,8113530,3978.561,8995.044
1/1/2016 1:00,1.16,16.53,0,0,0,0,0,0,0,0,7242581,102831367,820.222,11645.653,4975754,8969165,5492.002,9899.74
1/1/2016 1:15,1.44,49.85,0,0.08,0,12672,0,0,0,0,8982375,310038025,1012.763,34956.788,6360721,15790884,7051.797,17506.523
1/1/2016 1:30,1.45,45.02,0,0.04,0,6378,0,0,0,0,8989653,280024109,996.728,31047.672,7703712,15956776,8685.132,17989.602
1/1/2016 1:45,1.97,51.33,0,0.06,0,14793,0,0,0,0,12225301,319252075,1682.507,43937.067,15307128,25851492,13902.932,23480.012
1/1/2016 2:00,1.41,25.1,0,0,0,0,0,0,0,0,8752995,156098358,769.169,13717.143,5510292,10438337,7838.253,14848.274
1/1/2016 2:15,1.47,31.23,0,0.01,0,1475,0,0,0,0,9168695,194227066,1032.624,21874.823,7955572,15531254,8829.714,17237.795
1/1/2016 2:30,0.95,17.11,0,0,0,0,0,0,0,0,5908141,106437782,669.097,12054.079,3808267,7695212,4203.385,8493.611
1/1/2016 2:45,0.92,16.01,0,0,0,0,0,0,0,0,5731033,99567749,638.294,11089.358,3155280,6213007,3541.28,6973.072
1/1/2016 3:00,1.09,20.9,0,0,0,0,0,0,0,0,6753218,130012970,766.49,14756.473,5064477,11050996,5577.618,12170.7
1/1/2016 3:15,1.7,43.75,0,0,0,919,0,0,0,0,10601575,272097382,1188.702,30508.919,10535858,21594836,11745.661,24074.51
1/1/2016 3:30,1.94,58.74,0,0,0,983,0,0,0,0,12046305,365352234,1346.175,40828.113,12851423,26198310,14375.193,29304.598
1/1/2016 3:45,1.55,33.17,0,0,0,0,0,0,0,0,9659227,206334717,1081.833,23109.489,9327378,16927892,10410.021,18892.736
1/1/2016 4:00,4.49,26.34,0,0.01,0,867,0,0,0,0,27910006,163857254,3185.229,18700.208,7483537,14770318,8196.646,16177.785
