Date/Time,Interface - In Utilization (%),Interface - Out Utilization (%),Interface Discards - In (%),Interface Discards - Out (%),Interface Discards - In (pkt),Interface Discards - Out (pkt),Interface Errors - In (%),Interface Errors - Out (%),Interface Errors - In (pkt),Interface Errors - Out (pkt),Interface - In (bps),Interface - Out (bps),Interface - In (MB),Interface - Out (MB),Interface - In (pkt),Interface - Out (pkt),Interface - In (pkt/sec),Interface - Out (pkt/sec)
1/1/2016 10:30,0.92,8.72,0,0,0,0,0,0,0,0,5717655,54252796,645.38,6123.785,1755345,1936079,1943.904,2144.052
1/1/2016 10:45,1.05,19.43,0,0.83,0,31099,0,0,0,0,6554272,120884361,731.621,13493.717,2685702,3715796,3007.505,4161.026
1/1/2016 11:00,0.87,0.37,0,0,0,0,0,0,0,0,5420961,2316289,593.595,253.634,1436067,464155,1639.346,529.857
1/1/2016 11:15,1.11,34.54,0,0.87,0,55443,0,0,0,0,6894199,214834747,775.597,24168.909,3531096,6310621,3923.44,7011.801
1/1/2016 11:30,1.07,34.68,0,0.15,0,9409,0,0,1,0,6655365,215711349,751.224,24348.418,2476954,6460435,2743.028,7154.413
1/1/2016 11:45,0.75,12.77,0,0.11,0,2706,0,0,0,0,4667204,79404076,518.643,8823.778,1923517,2528721,2163.686,2844.456
1/1/2016 12:00,0.76,0.34,0,0,0,0,0,0,0,0,4712014,2140782,553.662,251.542,1448955,402010,1541.442,427.67
1/1/2016 12:15,0.75,2.94,0,0,0,42,0,0,0,0,4660633,18272728,518.495,2032.841,1515576,885948,1702.894,995.447
1/1/2016 12:30,0.84,5.3,0,0,0,0,0,0,0,0,5206753,32938412,589.014,3726.158,1794799,1320672,1983.203,1459.306
1/1/2016 12:45,0.84,12.77,0,0.01,0,173,0,0,0,0,5209183,79415382,585.382,8924.303,2525758,2520667,2809.52,2803.856
1/1/2016 13:00,0.81,0.29,0,0,0,0,0,0,0,0,5045880,1785270,572.707,202.628,1414371,431407,1557.677,475.118
1/1/2016 13:15,0.89,38.8,0,0.06,0,3736,0,0,0,0,5535735,241311005,611.699,26664.866,2565432,6764294,2902.073,7651.917
1/1/2016 13:30,0.77,28.78,0,0.01,0,419,0,0,0,0,4764773,178998230,539.015,20249.174,1772608,5376197,1958.683,5940.549
1/1/2016 13:45,1.02,16.36,0,0,0,0,0,0,0,0,6322641,101759598,707.345,11384.355,4004967,3151842,4474.823,3521.611
1/1/2016 14:00,0.78,0.32,0,0,0,0,0,0,0,0,4834039,1969815,536.578,218.649,1381666,422235,1555.93,475.49
1/1/2016 14:15,0.84,4.99,0,0,0,0,0,0,0,0,5237127,31055059,583.94,3462.639,1681372,1218067,1884.946,1365.546
1/1/2016 14:30,0.82,4.47,0,0,0,0,0,0,0,0,5102550,27834005,570.848,3113.929,1930209,1136319,2156.658,1269.63
1/1/2016 14:45,0.79,3.5,0,0,0,0,0,0,0,0,4943415,21777803,562.313,2477.225,2227694,982094,2448.015,1079.224
1/1/2016 15:00,0.84,0.32,0,0,0,0,0,0,0,0,5223736,1984090,585.711,222.466,1467343,421124,1635.834,469.48
1/1/2016 15:15,0.87,3.63,0,0,0,0,0,0,0,0,5402063,22570972,605.031,2527.949,1654114,1008220,1846.109,1125.245
1/1/2016 15:30,1.02,10.61,0,0,0,0,0,0,0,0,6364993,65963799,721.631,7478.645,3115173,2264542,3434.59,2496.739
1/1/2016 15:45,0.84,9.89,0,0,0,101,0,0,0,0,5200358,61508961,588.291,6958.201,2090484,2097842,2309.927,2318.057
1/1/2016 16:00,0.79,0.47,0,0,0,0,0,0,0,0,4907668,2906831,545.365,323.022,1460203,455294,1642.523,512.142
1/1/2016 16:15,0.81,2.91,0,0,0,16,0,0,0,0,5027212,18069588,566.818,2037.346,1609787,911331,1784.686,1010.345
1/1/2016 16:30,0.82,7.08,0,0,0,0,0,0,0,0,5110875,44026531,574.974,4952.985,2130457,1604160,2367.175,1782.4
1/1/2016 16:45,0.83,5.53,0,0,0,0,0,0,0,0,5160519,34395241,583.784,3890.962,2315928,1386022,2559.036,1531.516
1/1/2016 17:00,0.78,0.35,0,0,0,0,0,0,0,0,4875250,2195121,545.419,245.579,1510411,456761,1687.61,510.347
1/1/2016 17:15,1.28,42.81,0,0.43,0,32888,0,0,0,0,7931032,266272797,885.301,29722.702,3801512,7659351,4257.012,8577.101
1/1/2016 17:30,1.29,45.64,0,0.04,0,3531,0,0,0,0,8048611,283868805,908.487,32041.691,3885888,8176870,4303.309,9055.227
1/1/2016 17:45,0.81,11.96,0,0.58,0,14118,0,0,0,0,5044883,74375526,569.441,8395.138,2114738,2421312,2341.903,2681.409
1/1/2016 18:00,0.76,0.29,0,0,0,0,0,0,0,0,4723634,1785160,536.723,202.839,1441889,389765,1586.237,428.784
1/1/2016 18:15,0.8,3.22,0,0.09,0,805,0,0,0,0,4965154,19997690,551.753,2222.243,1866428,920587,2099.469,1035.531
1/1/2016 18:30,0.86,11.71,0,0,0,0,0,0,0,0,5371282,72862701,603.598,8187.945,2520505,2422034,2803.676,2694.142
1/1/2016 18:45,0.89,8.45,0,0,0,0,0,0,0,0,5531628,52564690,618.851,5880.675,2267045,1842170,2533.011,2058.291
1/1/2016 19:00,0.85,0.4,0,0,0,0,0,0,0,0,5301826,2496317,622.965,293.317,1531470,450177,1629.223,478.912
1/1/2016 19:15,0.86,23,0,0.03,0,1066,0,0,0,0,5356137,143077713,600.557,16042.589,2372437,4200693,2644.857,4683.047
1/1/2016 19:30,0.79,14.15,0,0.07,0,1797,0,0,0,0,4926208,88028313,556.046,9936.196,1931703,2762634,2139.206,3059.395
1/1/2016 19:45,0.85,31.12,0,0.07,0,3920,0,0,0,0,5278681,193542053,588.573,21579.94,2475561,5546840,2775.292,6218.431
1/1/2016 20:00,0.73,0.3,0,0,0,0,0,0,0,0,4514758,1887602,510.168,213.299,1428104,388294,1579.761,429.529
1/1/2016 20:15,0.76,4.02,0,0.04,0,373,0,0,0,0,4712971,24986916,531.387,2817.275,1595992,1019312,1769.392,1130.058
1/1/2016 20:30,0.8,8.77,0,0,0,0,0,0,0,0,4954781,54526360,561.748,6181.926,1453353,1851107,1602.374,2040.912
1/1/2016 20:45,0.79,10.23,0,0,0,29,0,0,0,0,4940083,63622471,548.349,7062.094,1848218,2082456,2081.327,2345.108
1/1/2016 21:00,0.73,0.31,0,0,0,0,0,0,0,0,4548737,1956203,516.85,222.274,864907,398218,951.493,438.084
1/1/2016 21:15,0.88,5.62,0,0,0,0,0,0,0,0,5460448,34975632,615.666,3943.502,1142125,1404175,1266.214,1556.735
1/1/2016 21:30,0.83,1.38,0,0,0,0,0,0,0,0,5131564,8571255,585.64,978.194,1388180,662903,1520.46,726.071
1/1/2016 21:45,0.93,8.32,0,0,0,3,0,0,0,0,5759123,51769459,645.742,5804.65,1619409,1856935,1805.361,2070.162
1/1/2016 22:00,0.69,0.32,0,0,0,0,0,0,0,0,4277807,1990327,481.788,224.161,758274,412709,841.592,458.057
1/1/2016 22:15,0.9,3.02,0,0,0,41,0,0,0,0,5613803,18760284,602.782,2014.385,1029156,896556,1198.086,1043.721
1/1/2016 22:30,0.88,0.67,0,0,0,0,0,0,0,0,5448734,4174191,606.172,464.379,1954537,458086,2196.109,514.703
1/1/2016 22:45,0.79,10.47,0,0,0,0,0,0,0,0,4909874,65101570,552.975,7332.064,1605000,2156536,1781.354,2393.492
1/1/2016 23:00,0.68,0.41,0,0,0,0,0,0,0,0,4253117,2562749,500.273,301.443,862747,462564,916.841,491.566
1/1/2016 23:15,1.12,56.36,0,1.13,0,114129,0,0,0,0,6972678,350568878,780.068,39219.892,4336618,9966657,4845.383,11135.93
1/1/2016 23:30,1.19,43.93,0,0.57,0,45341,0,0,0,0,7373224,273247040,830.409,30774.448,3353131,7936400,3721.566,8808.436
1/1/2016 23:45,0.95,10.67,0,0,0,0,0,0,0,0,5906970,66362961,653.458,7341.403,1653520,2220291,1868.384,2508.803
1/2/2016 0:00,0.8,0.28,0,0,0,0,0,0,0,0,4960085,1751755,561.73,198.386,801622,409016,884.792,451.453
1/2/2016 0:15,1.17,9.37,0,0.15,0,2907,0,0,0,0,7263905,58295692,810.833,6507.257,1548080,1924142,1733.572,2154.694
1/2/2016 0:30,1.13,35.95,0,0.67,0,43701,0,0,0,0,7034505,223633591,795.778,25298.551,2662839,6516201,2942.364,7200.222
1/2/2016 0:45,0.86,14.17,0,0,0,0,0,0,0,0,5352326,88128883,605.482,9969.58,1489885,2768909,1646.282,3059.568
1/2/2016 1:00,0.82,0.32,0,0,0,0,0,0,0,0,5087436,2013575,571.065,226.024,836000,415763,930.958,462.988
1/2/2016 1:15,1.08,27.6,0,0.15,0,7500,0,0,0,0,6741238,171695877,751.648,19144.09,3185292,4985651,3570.955,5589.295
1/2/2016 1:30,1.01,9.22,0,0,0,0,0,0,0,0,6267412,57325050,705.084,6449.068,1462214,1915300,1624.682,2128.111
1/2/2016 1:45,1.37,42.05,0,0.18,0,13476,0,0,0,0,8499370,261563324,967.866,29785.524,4120635,7485620,4523.2,8216.927
1/2/2016 2:00,0.9,0.31,0,0,0,0,0,0,0,0,5618911,1918285,632.83,216.047,910771,399425,1010.845,443.313
1/2/2016 2:15,1.18,8.46,0,0.07,0,1199,0,0,0,0,7308793,52618576,827.721,5959.054,1435451,1774419,1584.383,1958.52
1/2/2016 2:30,1.16,8.34,0,0,0,0,0,0,0,0,7188442,51889225,806.903,5824.566,1260180,1783145,1403.318,1985.685
1/2/2016 2:45,1.12,17.97,0,0.29,0,9666,0,0,0,0,6936774,111757240,775.184,12488.872,2061819,3326410,2306.285,3720.817
1/2/2016 3:00,1.08,0.31,0,0,0,0,0,0,0,0,6725724,1900174,732.263,206.881,988061,370212,1134.398,425.042
1/2/2016 3:15,1.18,5.75,0,0,0,0,0,0,0,0,7366072,35764629,834.208,4050.344,1416938,1327825,1563.949,1465.59
1/2/2016 3:30,1.06,3.3,0,0,0,0,0,0,0,0,6586625,20499435,737.702,2295.937,1909214,901826,2130.819,1006.502
1/2/2016 3:45,0.94,24.12,0,0.88,0,38945,0,0,0,0,5833931,150056808,657.776,16918.905,2112176,4395204,2341.658,4872.732
1/2/2016 4:00,4.25,1.91,0,0,0,0,0,0,1,0,26425171,11872924,3088.442,1387.648,2366736,2030618,2531.269,2171.784
1/2/2016 4:15,0.95,4.61,0,0,0,0,0,0,0,0,5922672,28676992,662.599,3208.239,1202066,1114053,1343.09,1244.752
1/2/2016 4:30,0.86,7.41,0,0,0,0,0,0,0,0,5337048,46086578,599.751,5178.979,1383252,1623982,1538.656,1806.432
1/2/2016 4:45,0.91,8.87,0,0.02,0,359,0,0,0,0,5635385,55172421,629.05,6158.622,1778138,1867683,1991.196,2091.47
1/2/2016 5:00,0.75,0.3,0,0,0,0,0,0,0,0,4660962,1879718,526.106,212.173,836688,404617,926.565,448.081
1/2/2016 5:15,1.17,57.95,0,1.32,0,137478,0,0,1,0,7259905,360440918,817.647,40594.657,4609427,10283375,5115.901,11413.291
1/2/2016 5:30,0.97,20.73,0,0,0,0,0,0,0,0,6061643,128921494,683.45,14535.898,2841422,3886556,3150.135,4308.82
1/2/2016 5:45,0.92,19.97,0,0.19,0,7272,0,0,0,0,5742853,124217705,648.942,14036.601,2081428,3753979,2302.465,4152.632
1/2/2016 6:00,0.76,0.26,0,0,0,0,0,0,0,0,4709039,1625632,552.723,190.809,842596,377496,897.333,402.019
1/2/2016 6:15,0.8,3.68,0,0.16,0,1478,0,0,0,0,4996247,22920624,528.353,2423.856,1012392,924986,1196.681,1093.364
1/2/2016 6:30,1.01,0.86,0,0,0,0,0,0,0,0,6259450,5369263,708.1,607.398,2140288,534818,2364.959,590.959
1/2/2016 6:45,0.81,9.96,0,0,0,0,0,0,0,0,5064592,61963390,568.5,6955.39,1817203,2068352,2023.611,2303.287
1/2/2016 7:00,0.67,0.28,0,0,0,0,0,0,0,0,4193390,1766377,472.281,198.938,780400,365980,866.149,406.193
1/2/2016 7:15,0.82,29.69,0,0,0,0,0,0,0,0,5124481,184671616,580.347,20914.061,1531351,5348032,1690.233,5902.905
1/2/2016 7:30,0.83,8.37,0,0,0,0,0,0,0,0,5172804,52049141,583.234,5868.54,1782521,1822539,1976.187,2020.553
1/2/2016 7:45,1.05,54.52,0,0.15,0,13775,0,0,0,0,6507223,339142639,727.182,37899.19,3562274,9437292,3984.646,10556.255
1/2/2016 8:00,0.72,0.3,0,0,0,0,0,0,0,0,4449668,1840484,508.375,210.275,805081,389683,880.833,426.349
1/2/2016 8:15,0.86,3,0,0,0,0,0,0,0,0,5372218,18690777,594.302,2067.667,1055779,924808,1192.971,1044.981
1/2/2016 8:30,0.73,0.98,0,0,0,0,0,0,3,0,4520413,6104670,513.067,692.88,860897,541737,948.124,596.627
1/2/2016 8:45,0.86,14.45,0,0,0,0,0,0,0,0,5378077,89878387,604.361,10100.084,1818941,2867752,2023.294,3189.936
1/2/2016 9:00,0.83,0.29,0,0,0,0,0,0,1,0,5191297,1799002,585.319,202.837,879365,436945,974.906,484.418
1/2/2016 9:15,0.77,3.97,0,0.04,0,407,0,0,0,0,4800873,24665426,531.697,2731.696,949713,1022565,1071.911,1154.137
1/2/2016 9:30,0.8,6.8,0,0,0,0,0,0,0,0,4974634,42325985,567.108,4825.162,1112585,1585256,1219.94,1738.219
1/2/2016 9:45,0.83,17.26,0,0.59,0,19252,0,0,0,0,5154049,107379883,575.321,11986.279,1645567,3234659,1842.74,3622.239
1/2/2016 10:00,0.8,0.28,0,0,0,0,0,0,0,0,4996143,1767906,560.817,198.447,869788,449384,968.583,500.428
1/2/2016 10:15,0.8,3.45,0,0.04,0,334,0,0,0,0,4956298,21479856,555.725,2408.429,1013418,924155,1129.786,1030.273
1/2/2016 10:30,0.77,1.02,0,0,0,0,0,0,0,0,4803581,6354066,541.003,715.627,1462441,525183,1623.131,582.889
1/2/2016 10:45,0.92,16.81,0,0.04,0,1269,0,0,0,0,5700514,104539421,637.745,11695.348,1889137,3300698,2110.768,3687.931
1/2/2016 11:00,0.72,0.33,0,0,0,0,0,0,0,0,4453572,2040028,498.8,228.483,830353,404667,926.733,451.637
1/2/2016 11:15,1.04,35.52,0,0.72,0,47044,0,0,0,0,6482433,220958282,737.377,25134.004,2961347,6510515,3254.228,7154.412
1/2/2016 11:30,0.82,18.09,0,0.01,0,511,0,0,0,0,5122904,112526825,581.45,12771.795,2235025,3501344,2461.481,3856.106
1/2/2016 11:45,0.94,15.78,0,0.37,0,11509,0,0,0,0,5828004,98123505,649.822,10940.77,1905873,3111179,2136.629,3487.869
1/2/2016 12:00,0.68,0.3,0,0,0,0,0,0,0,0,4200938,1843527,478.382,209.932,774376,397770,850.029,436.63
1/2/2016 12:15,0.8,3.17,0,0.01,0,49,0,0,0,0,4980054,19742819,535.978,2124.821,1040122,911376,1208.039,1058.509
1/2/2016 12:30,0.65,6.52,0,0,0,0,0,0,0,0,4064228,40583233,456.718,4560.541,782518,1487071,870.432,1654.139
1/2/2016 12:45,0.71,8.82,0,0,0,50,0,0,0,0,4410065,54860104,496.132,6171.762,1193525,1865227,1326.139,2072.474
1/2/2016 13:00,0.79,0.3,0,0,0,0,0,0,0,0,4924501,1862017,552.775,209.011,888634,429677,989.57,478.482
1/2/2016 13:15,0.87,32.74,0,0.04,0,2518,0,0,0,0,5432511,203623001,609.799,22856.684,2043292,5786020,2275.381,6443.229
1/2/2016 13:30,0.75,9.18,0,0,0,0,0,0,0,0,4663465,57094505,521.725,6387.448,1178280,1992516,1316.514,2226.275
1/2/2016 13:45,0.92,26.51,0,0.18,0,8664,0,0,0,0,5739549,164903442,649.286,18654.702,3217525,4891091,3555.276,5404.521
1/2/2016 14:00,0.72,0.3,0,0,0,0,0,0,0,0,4483422,1888217,508.868,214.313,837500,428257,922.357,471.649
1/2/2016 14:15,0.77,3.28,0,0,0,0,0,0,0,0,4798466,20383680,558.421,2372.151,1032259,975588,1108.764,1047.893
1/2/2016 14:30,0.8,1.03,0,0,0,0,0,0,0,0,4991889,6376371,567.203,724.515,1792197,563552,1971.614,619.969
1/2/2016 14:45,0.82,16.43,0,0.04,0,1379,0,0,0,0,5105882,102223991,566.115,11334.085,1802702,3109371,2032.359,3505.491
1/2/2016 15:00,0.73,0.38,0,0,0,0,0,0,0,0,4511549,2356777,509.241,266.021,869788,429120,963.22,475.216
1/2/2016 15:15,0.76,2.58,0,0.03,0,273,0,0,0,0,4745590,16038994,533.879,1804.387,1074238,854063,1193.598,948.959
1/2/2016 15:30,0.82,4.71,0,0,0,0,0,0,0,0,5107362,29313517,570.748,3275.785,1239306,1211013,1386.248,1354.601
1/2/2016 15:45,0.75,12.85,0,0,0,21,0,0,0,0,4661621,79896072,532.007,9118.139,1588762,2603406,1740.156,2851.485
1/2/2016 16:00,0.76,0.33,0,0,0,0,0,0,0,0,4752278,2050905,531.067,229.189,948907,441620,1061.417,493.982
1/2/2016 16:15,0.75,4.13,0,0,0,0,0,0,0,0,4650906,25715347,516.251,2854.404,1000032,1080790,1126.162,1217.106
1/2/2016 16:30,0.81,8.73,0,0,0,0,0,0,0,0,5037577,54271336,578.062,6227.636,1041656,1965543,1134.702,2141.114
1/2/2016 16:45,0.83,6.27,0,0,0,0,0,0,0,0,5154645,38999733,574.099,4343.596,1805599,1512695,2026.486,1697.75
1/2/2016 17:00,0.69,0.34,0,0,0,0,0,0,0,0,4322224,2090841,490.572,237.31,895665,480101,986.415,528.746
1/2/2016 17:15,1.08,43.78,0,1.31,0,103418,0,0,0,0,6719079,272300781,745.818,30225.388,3570224,7773919,4020.522,8754.413
1/2/2016 17:30,0.94,50.99,0,0.65,0,59017,0,0,0,0,5876051,317151855,658.852,35560.653,2761877,8997164,3079.016,10030.283
1/2/2016 17:45,0.82,17.14,0,0.11,0,3486,0,0,0,0,5115139,106599037,579.29,12072.34,1862047,3298891,2055.24,3641.16
1/2/2016 18:00,0.69,0.31,0,0,0,0,0,0,0,0,4305406,1949061,483.82,219.026,819219,396031,911.256,440.524
1/2/2016 18:15,0.78,6.01,0,0,0,0,0,0,0,0,4830586,37393517,546.46,4230.142,1112857,1437579,1229.676,1588.485
1/2/2016 18:30,0.76,8.9,0,0,0,0,0,0,0,0,4739954,55386597,532.06,6217.145,1052298,1885820,1171.824,2100.022
1/2/2016 18:45,0.88,10.92,0,0,0,0,0,0,0,0,5450041,67923561,617.217,7692.343,2128960,2299056,2349.845,2537.589
1/2/2016 19:00,0.76,0.45,0,0,0,0,0,0,0,0,4730673,2808083,536.34,318.366,933814,452648,1029.563,499.061
1/2/2016 19:15,1.04,28.35,0,0.01,0,417,0,0,0,0,6494551,176349930,720.895,19574.843,3117766,5095258,3510.998,5737.903
1/2/2016 19:30,0.89,25.4,0,0.02,0,1098,0,0,0,0,5521051,158002548,621.118,17775.286,1952103,4797229,2169.003,5330.254
1/2/2016 19:45,0.98,17.55,0,0,0,0,0,0,0,0,6124947,109131454,689.057,12277.288,3586833,3318036,3985.37,3686.707
1/2/2016 20:00,0.7,0.38,0,0,0,0,0,0,0,0,4348155,2344114,498.951,268.987,828811,401888,902.844,437.786
1/2/2016 20:15,0.74,5.76,0,0.07,0,840,0,0,0,0,4575007,35801048,506.11,3960.491,1069054,1275661,1207.971,1441.425
1/2/2016 20:30,1.11,1.2,0,0,0,0,0,0,0,0,6930410,7437540,776.206,833.004,4360186,549430,4866.279,613.203
1/2/2016 20:45,0.82,13.78,0,0.14,0,3826,0,0,0,0,5086106,85726501,570.915,9622.799,1780021,2677288,1982.206,2981.39
1/2/2016 21:00,0.66,0.35,0,0,0,0,0,0,0,0,4086763,2159963,464.869,245.696,788957,393947,866.986,432.909
1/2/2016 21:15,0.9,4.24,0,0,0,0,0,0,0,0,5621954,26397600,614.199,2883.938,1164565,1098944,1332.454,1257.373
1/2/2016 21:30,0.79,5.54,0,0,0,0,0,0,0,0,4893036,34464184,562.087,3959.073,1235794,1315378,1344.716,1431.314
